ResellerKey|GeographyKey|ResellerAlternateKey|Phone|BusinessType|ResellerName|NumberEmployees|OrderFrequency|OrderMonth|FirstOrderYear|LastOrderYear|ProductLine|AddressLine1|AddressLine2|AnnualSales|BankName|MinPaymentType|MinPaymentAmount|AnnualRevenue|YearOpened
158|154|AW00000158|1 (11) 500 555-0191|Value Added Reseller|Rural Sporting Goods|10|S||||Road|Auf der Krone 53||800000.00|United Security|3|600.00|80000.00|1989
159|11|AW00000159|1 (11) 500 555-0177|Specialty Bike Shop|Uncompromising Quality Co|46|A|5|2013|2013|Touring|65 Epping Road||1500000.00|Primary Bank & Reserve|||150000.00|1995
160|264|AW00000160|1 (11) 500 555-0178|Warehouse|Vigorous Sports Store|82|Q|6|2012|2013|Road|Banbury||3000000.00|Guardian Bank|1||300000.00|1988
161|442|AW00000161|754-555-0134|Value Added Reseller|Weekend Tours|9|S|4|2010|2012|Road|42522 Northrupp||300000.00|Reserve Security|2||30000.00|1994
162|554|AW00000162|599-555-0160|Specialty Bike Shop|Tire Company|45|A|11|2011|2013|Road|675 East Ave.||1500000.00|International Bank|3|600.00|150000.00|1987
163|541|AW00000163|644-555-0111|Warehouse|Sports Merchandise|83|Q|6|2013|2013|Touring|558 S 6th St||3000000.00|International Security|3|1000.00|300000.00|1993
164|551|AW00000164|706-555-0140|Value Added Reseller|Suburban Cycle Shop|8|S|8|2011|2013|Mountain|994 Sw Cherry Park Rd||300000.00|Primary International|2||30000.00|1986
165|578|AW00000165|383-555-0117|Specialty Bike Shop|Third Bike Store|44|A|6|2012|2013|Road|2500 North Stemmons Freeway||1500000.00|United Security|1||150000.00|1992
166|580|AW00000166|351-555-0131|Warehouse|Fitness Toy Store|84|Q|4|2010|2013|Road|220 Mercy Drive||3000000.00|Primary Bank & Reserve|||300000.00|1985
167|305|AW00000167|156-555-0187|Value Added Reseller|Farthermost Bike Shop|7|S|5|2011|2013|Road|99000 S. Avalon Blvd. Suite 750||300000.00|Guardian Bank|1||30000.00|1991
168|297|AW00000168|688-555-0113|Specialty Bike Shop|Economy Bikes Company|43|A|6|2012|2012|Mountain|72502 Eastern Ave.||1500000.00|Reserve Security|2||150000.00|1984
169|508|AW00000169|147-555-0192|Warehouse|Downtown Hotel|85|Q|6|2011|2011|Mountain|2560 E. Newlands Dr||3000000.00|International Bank|3|600.00|300000.00|1990
170|567|AW00000170|576-555-0171|Value Added Reseller|Excellent Riding Supplies|6|S|6|2011|2013|Road|6555 Quince Road, Suite 2025||300000.00|International Security|||30000.00|1983
171|425|AW00000171|332-555-0142|Specialty Bike Shop|Eighty Toy Stores|42|A|6|2013|2013|Road|2025 Greenwood Ct||1500000.00|Primary International|1||150000.00|1989
172|61|AW00000172|835-555-0116|Warehouse|Certified Sports Supply|86|Q|6|2011|2013|Mountain|250551 Shellbridge Way||3000000.00|United Security|2||300000.00|1982
173|68|AW00000173|722-555-0169|Value Added Reseller|Sundry Sporting Goods|5|S|6|2011|2013|Road|595 Burning Street||300000.00|Primary Bank & Reserve|3|600.00|30000.00|1988
174|67|AW00000174|838-555-0147|Specialty Bike Shop|Toy Manufacturing Inc|41|A||||Road|252345 8810th Avenue||1500000.00|Guardian Bank|3|600.00|150000.00|1981
175|183|AW00000175|1 (11) 500 555-0197|Warehouse|Registered Cycle Store|87|Q|5|2012|2013|Mountain|26, rue Saint Denis||3000000.00|Reserve Security|2||300000.00|1987
176|170|AW00000176|1 (11) 500 555-0163|Value Added Reseller|Rodeway Bike Store|4|S|6|2013|2013|Mountain|Winterfeldtstr 5557|Kreditorenbuchhaltung|300000.00|International Bank|1||30000.00|1980
177|24|AW00000177|1 (11) 500 555-0181|Specialty Bike Shop|Plastic Products Manufacturers|40|A|4|2012|2013|Touring|5525 Glenferrie Road||1500000.00|International Security|||150000.00|1986
178|270|AW00000178|1 (11) 500 555-0193|Warehouse|Rampart Amusement Company|88|Q|5|2013|2013|Touring|Bradford|Raven House, Kingsgate|3000000.00|Primary International|1||300000.00|1979
179|531|AW00000179|608-555-0114|Value Added Reseller|Fourth Bike Store|3|S|6|2013|2013|Touring|77993 Mentor Ave.||300000.00|United Security|2||30000.00|1985
180|467|AW00000180|264-555-0164|Specialty Bike Shop|Full-Service Bike Store|39|A|6|2011|2011|Mountain|9920 North Telegraph Rd.||1500000.00|Primary Bank & Reserve|3|600.00|150000.00|1978
181|538|AW00000181|396-555-0139|Warehouse|Family Entertainment Center|89|Q|5|2013|2013|Touring|25718 Se Sunnyside Rd||3000000.00|Guardian Bank|||300000.00|1984
182|545|AW00000182|156-555-0126|Value Added Reseller|Another Bicycle Company|2|S|6|2013|2013|Touring|567 Sw Mcloughlin Blvd||300000.00|Reserve Security|1||30000.00|1977
183|432|AW00000183|344-555-0181|Specialty Bike Shop|This Area Sporting Goods|38|A|4|2011|2013|Mountain|25 N State St||1500000.00|International Bank|2||150000.00|1983
184|574|AW00000184|306-555-0166|Warehouse|Go-cart and Bike Specialists|90|Q|4|2011|2012|Mountain|2509 W. Frankford||3000000.00|International Security|3|600.00|300000.00|1976
185|362|AW00000185|495-555-0113|Value Added Reseller|Weekend Bike Tours|4|S|7|2012|2012|Road|630 N. Capitol Ave.||300000.00|Primary International|3|200.00|30000.00|1982
186|507|AW00000186|789-555-0184|Specialty Bike Shop|Thrilling Bike Tours|37|A|6|2013|2013|Touring|4660 Rodeo Road||1500000.00|United Security|2||150000.00|1975
187|306|AW00000187|491-555-0132|Warehouse|Trailblazing Sports|91|Q|6|2011|2013|Mountain|251340 E. South St.||3000000.00|Primary Bank & Reserve|1||300000.00|1981
188|409|AW00000188|685-555-0176|Value Added Reseller|Variety Bike Outlet|6|S||||Mountain|83995 South Dixie Highway||300000.00|Guardian Bank|||30000.00|1974
189|283|AW00000189|514-555-0128|Specialty Bike Shop|Principal Bicycle Supply|36|A||||Road|39950 Airport Blvd.||1500000.00|Reserve Security|1||150000.00|1980
190|41|AW00000190|371-555-0112|Warehouse|Racing Partners|92|Q|6|2013|2013|Mountain|2512-410th Avenue S.W.||3000000.00|International Bank|2||300000.00|1991
191|96|AW00000191|303-555-0117|Value Added Reseller|Non-Slip Pedal Company|8|S|11|2011|2013|Road|258 King Street East||300000.00|International Security|3|600.00|30000.00|1979
192|96|AW00000192|117-555-0173|Specialty Bike Shop|Nuts and Bolts Mfg.|35|A||||Mountain|6th Floor Ferguson Block||1500000.00|Primary International|||150000.00|1992
193|180|AW00000193|1 (11) 500 555-0165|Warehouse|Perfect Toys|93|Q|5|2013|2013|Touring|68081, place du Tertre||3000000.00|United Security|1||300000.00|1978
194|150|AW00000194|1 (11) 500 555-0179|Value Added Reseller|Mechanical Brake Manufacturers|10|S||||Touring|Alte Landstr 776||800000.00|Primary Bank & Reserve|2||80000.00|1974
195|12|AW00000195|1 (11) 500 555-0180|Specialty Bike Shop|Inexpensive Parts Shop|34|A|6|2013|2013|Mountain|2253 Miller Street||1500000.00|Guardian Bank|3|600.00|150000.00|1976
196|260|AW00000196|1 (11) 500 555-0126|Warehouse|Exhibition Showroom|94|Q|4|2012|2013|Mountain|Garamonde Drive, Wymbush|P.O. Box 803|3000000.00|Reserve Security|3|1000.00|300000.00|1978
197|466|AW00000197|224-555-0126|Value Added Reseller|Fabrikam Inc., West|12|S|6|2012|2013|Mountain|46460 West Oaks Drive||800000.00|International Bank|2||80000.00|1980
198|471|AW00000198|528-555-0183|Specialty Bike Shop|Field Trip Inc|33|A|8|2011|2013|Road|997000 Telegraph Rd.||1500000.00|International Security|1||150000.00|1982
199|635|AW00000199|947-555-0143|Warehouse|Authorized Bike Sales and Rental|95|Q|5|2013|2013|Touring|490 Ne 4th St||3000000.00|Primary International|||300000.00|1984
200|632|AW00000200|170-555-0189|Value Added Reseller|Basic Bike Company|14|S|1|2010|2013|Road|15 East Main||800000.00|United Security|1||80000.00|1986
201|578|AW00000201|789-555-0189|Specialty Bike Shop|Unsurpassed Bikes|32|A|6|2013|2013|Touring|Po Box 8035996||1500000.00|Primary Bank & Reserve|2||150000.00|1988
202|589|AW00000202|645-555-0193|Warehouse|Two-Seater Bikes|96|Q|6|2013|2013|Touring|5700 Legacy Dr||3000000.00|Guardian Bank|3|600.00|300000.00|1990
203|342|AW00000203|207-555-0129|Value Added Reseller|Separate Parts Corporation|16|S|4|2010|2012|Road|440 West Huntington Dr.||800000.00|Reserve Security|||80000.00|1992
204|374|AW00000204|973-555-0112|Specialty Bike Shop|Traction Tire Company|31|A||||Mountain|99235 Hawthorne Blvd.||1500000.00|International Bank|1||150000.00|1994
205|285|AW00000205|171-555-0147|Warehouse|Rally Master Company Inc|97|Q|4|2012|2013|Touring|870 N. 54th Ave.||3000000.00|International Security|2||300000.00|1996
206|500|AW00000206|895-555-0160|Value Added Reseller|New and Used Bicycles|18|S|5|2011|2013|Road|3990 Silas Creek Parkway||800000.00|Primary International|3|600.00|80000.00|1998
207|498|AW00000207|726-555-0191|Specialty Bike Shop|Lubricant and Grease Suppliers|30|A|5|2012|2013|Mountain|956k North Wesleyan Blvd.||1500000.00|United Security|3|600.00|150000.00|2000
208|96|AW00000208|154-555-0115|Warehouse|Professional Cyclists|98|Q|5|2011|2012|Road|2545 King Street West||3000000.00|Primary Bank & Reserve|2||300000.00|2002
209|92|AW00000209|595-555-0131|Value Added Reseller|Purple Bicycle Company|20|S||||Road|2550 Middlefield Road||1000000.00|Guardian Bank|1||100000.00|2004
210|94|AW00000210|584-555-0192|Specialty Bike Shop|Gasless Cycle Shop|29|A|5|2011|2013|Road|25 First Canadian Place||1000000.00|Reserve Security|||100000.00|2005
211|205|AW00000211|1 (11) 500 555-0174|Warehouse|Sports Products Store|99|Q|5|2012|2013|Road|98, rue de Terre Neuve||3000000.00|International Bank|1||300000.00|2003
212|134|AW00000212|1 (11) 500 555-0187|Value Added Reseller|Enterprise Center|19|S|6|2013|2013|Touring|Kurfrstenstr 574||800000.00|International Security|2||80000.00|2004
213|38|AW00000213|1 (11) 500 555-0168|Specialty Bike Shop|Fast Bike Works|28|A|5|2013|2013|Touring|Level 100|77 Southbank Boulevard|1000000.00|Primary International|3|600.00|100000.00|1975
214|242|AW00000214|1 (11) 500 555-0175|Warehouse|Exclusive Bicycle Mart|100|Q|5|2012|2013|Road|Butterfield Hse, 7-251 Chapel St||3000000.00|United Security|||300000.00|2003
215|400|AW00000215|230-555-0164|Value Added Reseller|Eleventh Bike Store|18|S|10|2011|2011|Road|25850 Post Road||800000.00|Primary Bank & Reserve|1||80000.00|1979
216|399|AW00000216|496-555-0150|Specialty Bike Shop|Painters Bicycle Specialists|27|A|6|2011|2013|Road|9975 Union St.||1000000.00|Guardian Bank|2||100000.00|2002
217|640|AW00000217|642-555-0187|Warehouse|City Manufacturing|66|Q|5|2012|2013|Mountain|3025 E Waterway Blvd||3000000.00|Reserve Security|3|600.00|300000.00|1983
218|625|AW00000218|476-555-0139|Value Added Reseller|Sure & Reliable Sporting Goods|17|S|5|2011|2012|Road|7990 Ocean Beach Hwy.||800000.00|International Bank|3|200.00|80000.00|2001
219|432|AW00000219|320-555-0134|Value Added Reseller|Extras Sporting Goods|2|S|3|2012|2012|Road|625 W Jackson Blvd. Unit 2502||300000.00|International Security|2||30000.00|1974
220|487|AW00000220|575-555-0189|Specialty Bike Shop|Best o' Bikes|10|A|4|2012|2013|Touring|250880 Baur Blvd||800000.00|Primary International|1||80000.00|1976
221|505|AW00000221|993-555-0179|Warehouse|Bike Dealers Association|40|Q|4|2010|2013|Road|9952 E. Lohman Ave.||1500000.00|United Security|||150000.00|1978
222|386|AW00000222|858-555-0140|Value Added Reseller|Sample Bike Store|5|S|9|2011|2012|Road|2530 South Colorado Blvd.||300000.00|Primary Bank & Reserve|1||30000.00|1980
223|387|AW00000223|458-555-0179|Specialty Bike Shop|Paints and Solvents Company|13|A|6|2013|2013|Touring|955 E. County Line Rd.||800000.00|Guardian Bank|2||80000.00|1982
224|281|AW00000224|455-555-0144|Warehouse|Pedal Systems Company|43|Q|5|2012|2012|Road|656 Cox Creek Pkwy.||1500000.00|Reserve Security|3|600.00|150000.00|1984
225|448|AW00000225|523-555-0170|Value Added Reseller|Optimal Bikes|8|S|6|2012|2012|Road|25050 S. Columbia Ave||300000.00|International Bank|||30000.00|1986
226|103|AW00000226|103-555-0151|Specialty Bike Shop|Leisure Activities|16|A|5|2012|2012|Mountain|65 Gamelin Street||800000.00|International Security|1||80000.00|1988
227|94|AW00000227|431-555-0153|Warehouse|Health Spa, Limited|46|Q|4|2010|2013|Road|2500 University Avenue||1500000.00|Primary International|2||150000.00|1990
228|87|AW00000228|356-555-0190|Value Added Reseller|Home Town Bike Store|11|S|6|2013|2013|Touring|955 Green Valley Crescent||800000.00|United Security|3|600.00|80000.00|1992
229|215|AW00000229|1 (11) 500 555-0113|Specialty Bike Shop|Instant Cycle Store|19|A|4|2011|2013|Road|21801, rue L‚o Delibes||800000.00|Primary Bank & Reserve|3|600.00|80000.00|1994
230|122|AW00000230|1 (11) 500 555-0179|Warehouse|Global Bike Retailers|49|Q|5|2013|2013|Touring|K”nigsteiner Straáe 9||1500000.00|Guardian Bank|2||150000.00|1996
231|6|AW00000231|1 (11) 500 555-0122|Value Added Reseller|Helmets and Cycles|14|S|4|2012|2013|Touring|Rosebery||800000.00|Reserve Security|1||80000.00|1998
232|228|AW00000232|1 (11) 500 555-0140|Specialty Bike Shop|Exceptional Cycle Services|22|A|4|2012|2013|Touring|Wade Road||1000000.00|International Bank|||100000.00|2000
233|521|AW00000233|618-555-0193|Warehouse|Fashionable Department Stores|52|Q|5|2012|2013|Mountain|7505 Commercial Dr.||3000000.00|International Security|1||300000.00|2002
234|443|AW00000234|428-555-0162|Value Added Reseller|Eastside Sporting Goods|17|S|4|2011|2012|Road|89950 Castleton Corner||800000.00|Primary International|2||80000.00|2004
235|626|AW00000235|344-555-0133|Specialty Bike Shop|Certified Bicycle Supply|25|A|6|2012|2013|Road|2345 West Spencer Road||1000000.00|United Security|3|600.00|100000.00|2005
236|637|AW00000236|173-555-0151|Warehouse|Closeout Boutique|55|Q|5|2012|2013|Mountain|1050 Oak Street||3000000.00|Primary Bank & Reserve|||300000.00|2003
237|432|AW00000237|658-555-0146|Value Added Reseller|Client Discount Store|20|S|5|2012|2013|Mountain|Noah Lane||1000000.00|Guardian Bank|1||100000.00|2004
238|483|AW00000238|652-555-0189|Specialty Bike Shop|A Great Bicycle Company|28|A|12|2011|2013|Road|6030 Robinson Road||1000000.00|Reserve Security|2||100000.00|1975
239|369|AW00000239|529-555-0195|Warehouse|Bicycle Merchandise Warehouse|58|Q|6|2012|2012|Road|409 Santa Monica Blvd.||3000000.00|International Bank|3|600.00|300000.00|2003
240|350|AW00000240|103-555-0179|Value Added Reseller|Wire Baskets and Parts|19|S|5|2011|2011|Road|Mall Of Orange||800000.00|International Security|3|200.00|80000.00|1979
241|304|AW00000241|703-555-0120|Specialty Bike Shop|Vale Riding Supplies|31|A|4|2012|2013|Touring|Topanga Plaza||1500000.00|Primary International|2||150000.00|2002
242|409|AW00000242|600-555-0162|Warehouse|Spoke Manufacturers|61|Q|7|2011|2012|Road|2545 N.W. 107th Ave.||3000000.00|United Security|1||300000.00|1983
243|406|AW00000243|162-555-0138|Value Added Reseller|Recreation Supplies|18|S|6|2012|2012|Mountain|8789 S.W. 2517 Ave.||800000.00|Primary Bank & Reserve|||80000.00|2001
244|107|AW00000244|697-555-0131|Specialty Bike Shop|Retail Discount Store|34|A|6|2013|2013|Road|2510 Crew Court||1500000.00|Guardian Bank|1||150000.00|1987
245|101|AW00000245|191-555-0151|Warehouse|Leather Seat Factory|64|Q|4|2011|2013|Mountain|9900-6400 Boul, Taschereau||3000000.00|Reserve Security|2||300000.00|2000
246|106|AW00000246|481-555-0131|Value Added Reseller|Large Bike Shop|17|S|1|2011|2012|Mountain|600 Boul. Rene-levesque Ouest||800000.00|International Bank|3|600.00|80000.00|1991
247|225|AW00000247|1 (11) 500 555-0112|Specialty Bike Shop|Major Amusement Company|37|A|5|2012|2013|Mountain|2111, rue de Linois||1500000.00|International Security|||150000.00|1999
248|178|AW00000248|1 (11) 500 555-0158|Warehouse|Good Bicycle Store|67|Q|1|2013|2013|Road|Werftstr 4400||3000000.00|Primary International|1||300000.00|1995
249|37|AW00000249|1 (11) 500 555-0189|Value Added Reseller|Helpful Sales and Repair Service|16|S|6|2013|2013|Touring|Licensing Account||800000.00|United Security|2||80000.00|1998
250|250|AW00000250|1 (11) 500 555-0127|Specialty Bike Shop|Express Bike Services|40|A|5|2013|2013|Mountain|586 Fulham Road,||1500000.00|Primary Bank & Reserve|3|600.00|150000.00|1999
251|395|AW00000251|378-555-0157|Warehouse|Endurance Bikes|70|Q|5|2013|2013|Road|99200 Dixwell Ave.||3000000.00|Guardian Bank|3|1000.00|300000.00|1997
252|396|AW00000252|612-555-0149|Value Added Reseller|Classic Cycle Store|15|S|4|2011|2013|Mountain|630 Oldgate Lane||800000.00|Reserve Security|2||80000.00|2003
253|633|AW00000253|116-555-0163|Specialty Bike Shop|Roving Sports|43|A|4|2011|2013|Road|4927 S Meridian Ave Ste D||1500000.00|International Bank|1||150000.00|1996
254|608|AW00000254|449-555-0176|Warehouse|Safe Cycles Shop|73|Q|6|2012|2013|Mountain|25915 140th Ave Ne||3000000.00|International Security|||300000.00|2002
255|582|AW00000255|184-555-0187|Value Added Reseller|Swift Cycles|14|S|5|2011|2013|Road|25500 Old Spanish Trail||800000.00|Primary International|1||80000.00|1995
256|578|AW00000256|367-555-0124|Specialty Bike Shop|Rental Bikes|46|A|11|2011|2013|Road|99828 Routh Street, Suite 825||1500000.00|United Security|2||150000.00|2001
257|319|AW00000257|384-555-0169|Warehouse|Number 1 Supply|76|Q|5|2012|2013|Road|Escondido||3000000.00|Primary Bank & Reserve|3|600.00|300000.00|1994
258|356|AW00000258|767-555-0193|Value Added Reseller|Quantity Discounts|13|S|5|2012|2013|Road|Natomas Marketplace||800000.00|Guardian Bank|||80000.00|2000
259|371|AW00000259|199-555-0135|Specialty Bike Shop|Highway Bike Shop|49|A|5|2011|2013|Road|Simi @ The Plaza||1500000.00|Reserve Security|1||150000.00|1993
260|409|AW00000260|471-555-0181|Warehouse|Industrial Supplies|79|Q|5|2013|2013|Touring|825 Coral Way||3000000.00|International Bank|2||300000.00|1999
261|401|AW00000261|695-555-0128|Value Added Reseller|Functional Store North|12|S||||Mountain|650 E Altamonte Dr||800000.00|International Security|3|600.00|80000.00|1992
262|41|AW00000262|718-555-0152|Specialty Bike Shop|General Industries|48|A|6|2012|2013|Road|9259 - 1110th Avenue Sw||1500000.00|Primary International|3|600.00|150000.00|1998
263|46|AW00000263|251-555-0172|Warehouse|Farthest Bike Store|80|Q|5|2013|2013|Touring|45259 Canada Way||3000000.00|United Security|2||300000.00|1991
264|94|AW00000264|277-555-0182|Value Added Reseller|Fasteners & Bolts Outlet|11|S|5|2013|2013|Touring|9960 King Street E.||800000.00|Primary Bank & Reserve|1||80000.00|1997
265|202|AW00000265|1 (11) 500 555-0199|Specialty Bike Shop|Full Sports Supply|47|A|4|2011|2012|Mountain|39, route de Marseille||1500000.00|Guardian Bank|||150000.00|1990
266|119|AW00000266|1 (11) 500 555-0129|Warehouse|Excellent Bikes|81|Q|5|2013|2013|Touring|Hans-Rosenthal-Platz 4223||3000000.00|Reserve Security|1||300000.00|1996
267|35|AW00000267|1 (11) 500 555-0179|Value Added Reseller|Cycle Parts and Accessories|10|S|6|2013|2013|Touring|Level 99|12 South 10th Avenue|800000.00|International Bank|2||80000.00|1989
268|240|AW00000268|1 (11) 500 555-0138|Specialty Bike Shop|Channel Outlet|46|A|6|2013|2013|Touring|Knaves Beech Ind.||1500000.00|International Security|3|600.00|150000.00|1995
269|527|AW00000269|131-555-0171|Warehouse|Curbside Universe|82|Q|4|2010|2012|Road|25264 E. 260th||3000000.00|Primary International|||300000.00|1988
270|532|AW00000270|526-555-0155|Value Added Reseller|Active Transport Inc.|9|S|5|2011|2013|Road|225200 Miles Ave.||300000.00|United Security|1||30000.00|1994
271|645|AW00000271|164-555-0147|Specialty Bike Shop|Alternative Vehicles|45|A|5|2011|2011|Road|3307 Evergreen Blvd|Ste 1071|1500000.00|Primary Bank & Reserve|2||150000.00|1987
272|642|AW00000272|635-555-0126|Warehouse|Metro Cycle Shop|83|Q|6|2011|2013|Mountain|2507 Pacific Ave S||3000000.00|Guardian Bank|3|600.00|300000.00|1993
273|590|AW00000273|686-555-0180|Value Added Reseller|A Typical Bike Shop|8|S|6|2011|2011|Road|One Dancing, Rr No. 25|Box 8033|300000.00|Reserve Security|3|200.00|30000.00|1986
274|476|AW00000274|521-555-0183|Specialty Bike Shop|Active Systems|44|A|4|2011|2012|Road|9995 West Central Entrance||1500000.00|International Bank|2||150000.00|1992
275|334|AW00000275|118-555-0131|Warehouse|Outdoor Sporting Goods|84|Q|1|2012|2013|Touring|Lakewood Mall||3000000.00|International Security|1||300000.00|1985
276|351|AW00000276|308-555-0175|Value Added Reseller|Thrifty Parts and Sales|7|S|6|2013|2013|Road|Oxnard Outlet||300000.00|Primary International|||30000.00|1991
277|292|AW00000277|583-555-0198|Specialty Bike Shop|The Bicycle Accessories Company|43|A|6|2012|2013|Road|Vista Marketplace||1500000.00|United Security|1||150000.00|1984
278|411|AW00000278|965-555-0112|Warehouse|Tread Industries|85|Q|5|2011|2011|Mountain|25631 Florida Mall Ave.||3000000.00|Primary Bank & Reserve|2||300000.00|1990
279|567|AW00000279|793-555-0146|Value Added Reseller|Reliable Brake Systems|6|S|6|2011|2011|Mountain|770 South Point Dr||300000.00|Guardian Bank|3|600.00|30000.00|1983
280|75|AW00000280|692-555-0136|Specialty Bike Shop|Standard Bikes|42|A|5|2012|2013|Mountain|9979 Bayview Drive||1500000.00|Reserve Security|||150000.00|1989
281|106|AW00000281|990-555-0141|Warehouse|Petroleum Products Distributors|86|Q|6|2013|2013|Touring|20225 Lansing Ave||3000000.00|International Bank|1||300000.00|1982
282|111|AW00000282|882-555-0115|Value Added Reseller|Quick Parts and Service|5|S|6|2013|2013|Touring|99954 Boul. Laurier, Local 060, Place||300000.00|International Security|2||30000.00|1988
283|206|AW00000283|1 (11) 500 555-0112|Specialty Bike Shop|Racing Supply Distributors|41|A|5|2013|2013|Touring|57, rue des Vendangeurs||1500000.00|Primary International|3|600.00|150000.00|1981
284|153|AW00000284|1 (11) 500 555-0148|Warehouse|Nearby Bike Mall|87|Q|6|2013|2013|Road|Nonnendamm 63||3000000.00|United Security|3|1000.00|300000.00|1987
285|11|AW00000285|1 (11) 500 555-0151|Value Added Reseller|Nearest Bike Store|4|S|6|2013|2013|Touring|Ctrcrt Bus Pk/995-27 Paul St N||300000.00|Primary Bank & Reserve|2||30000.00|1980
286|266|AW00000286|1 (11) 500 555-0169|Specialty Bike Shop|Number One Bike Co.|40|A|4|2011|2013|Road|Elmhurst Road, Goring||1500000.00|Guardian Bank|1||150000.00|1986
287|463|AW00000287|859-555-0173|Warehouse|Handy Bike Services|88|Q|5|2011|2013|Mountain|399700 John R. Rd.||3000000.00|Reserve Security|||300000.00|1979
288|473|AW00000288|241-555-0112|Value Added Reseller|Kickstand Sellers|3|S|6|2012|2012|Mountain|6789 Warren Road||300000.00|International Bank|1||30000.00|1985
289|635|AW00000289|763-555-0145|Specialty Bike Shop|Moderately-Priced Bikes Store|39|A|5|2011|2013|Mountain|67 Rainer Ave S||1500000.00|International Security|2||150000.00|1978
290|609|AW00000290|119-555-0167|Warehouse|Friendly Bike Shop|89|Q|4|2011|2013|Road|750 Lakeway Dr||3000000.00|Primary International|3|600.00|300000.00|1984
291|573|AW00000291|640-555-0189|Value Added Reseller|Grand Bicycle Stores|2|S|6|2012|2013|Mountain|48255 I-10 E. @ Eastpoint Blvd.||300000.00|United Security|||30000.00|1977
292|582|AW00000292|126-555-0172|Specialty Bike Shop|Grease and Oil Products Company|38|A|4|2010|2013|Road|9903 Highway 6 South||1500000.00|Primary Bank & Reserve|1||150000.00|1983
293|597|AW00000293|115-555-0113|Warehouse|Fashionable Bikes and Accessories|90|Q|6|2011|2013|Mountain|Sports Store At Park City||3000000.00|Guardian Bank|2||300000.00|1976
294|381|AW00000294|780-555-0114|Value Added Reseller|Flawless Bike Shop|4|S||||Road|North County Square||300000.00|Reserve Security|3|600.00|30000.00|1982
295|351|AW00000295|129-555-0164|Specialty Bike Shop|Engineered Bike Systems|37|A|6|2013|2013|Touring|123 Camelia Avenue||1500000.00|International Bank|3|600.00|150000.00|1975
296|280|AW00000296|937-555-0136|Warehouse|Extreme Toy Store|91|Q|5|2012|2013|Mountain|7725 Luddington Lane||3000000.00|International Security|2||300000.00|1981
297|451|AW00000297|790-555-0112|Value Added Reseller|Blue-Ribbon Bike Company|6|S|6|2013|2013|Touring|790 Shelbyville Road||300000.00|Primary International|1||30000.00|1974
298|72|AW00000298|239-555-0198|Specialty Bike Shop|City Cycling|36|A||||Road|6th Floor 5250 Main Street||1500000.00|United Security|||150000.00|1980
299|73|AW00000299|680-555-0192|Warehouse|Citywide Service and Repair|92|Q|4|2011|2013|Road|Box 99354 300 Union Street||3000000.00|Primary Bank & Reserve|1||300000.00|1991
300|90|AW00000300|221-555-0167|Value Added Reseller|Nice Bikes|8|S|6|2012|2012|Road|Suite 800 2530 Slater Street||300000.00|Guardian Bank|2||30000.00|1979
301|204|AW00000301|1 (11) 500 555-0183|Specialty Bike Shop|Rural Mountain Bike Mart|35|A|5|2012|2013|Road|98, rue Montcalm||1500000.00|Reserve Security|3|600.00|150000.00|1992
302|172|AW00000302|1 (11) 500 555-0178|Warehouse|Best Cycle Store|93|Q|4|2012|2013|Touring|Berliner Platz 45||3000000.00|International Bank|||300000.00|1978
303|12|AW00000303|1 (11) 500 555-0187|Value Added Reseller|Seaside Bike Works|10|S|6|2013|2013|Touring|2501 Miller Street||800000.00|International Security|1||80000.00|1974
304|227|AW00000304|1 (11) 500 555-0182|Specialty Bike Shop|Essential Bike Works|34|A|6|2013|2013|Road|New Millhouse, 2583 Milton Park||1500000.00|Primary International|2||150000.00|1976
305|445|AW00000305|219-555-0126|Warehouse|Professional Sporting Goods|94|Q|4|2012|2013|Touring|42500 South Franklin Street||3000000.00|United Security|3|600.00|300000.00|1978
306|472|AW00000306|818-555-0171|Value Added Reseller|Work and Play Association|12|S|6|2012|2013|Road|2533 Eureka Rd.||800000.00|Primary Bank & Reserve|3|200.00|80000.00|1980
307|633|AW00000307|992-555-0134|Specialty Bike Shop|Riding Associates|33|A|5|2013|2013|Mountain|2528 Meridian E||1500000.00|Guardian Bank|2||150000.00|1982
308|616|AW00000308|839-555-0198|Warehouse|Rugged Bikes|95|Q|6|2013|2013|Touring|48995 Evergreen Wy.||3000000.00|Reserve Security|1||300000.00|1984
309|582|AW00000309|149-555-0113|Value Added Reseller|The Gear Store|14|S|5|2011|2013|Mountain|2345 North Freeway||800000.00|International Bank|||80000.00|1986
310|437|AW00000310|118-555-0184|Specialty Bike Shop|Orange Bicycle Company|32|A|5|2012|2013|Road|123 W. Lake Ave.||1500000.00|International Security|1||150000.00|1988
311|377|AW00000311|551-555-0155|Warehouse|Principal Bike Company|96|Q|6|2012|2013|Road|Mountain Square||3000000.00|Primary International|2||300000.00|1990
312|313|AW00000312|226-555-0146|Value Added Reseller|Resale Services|16|S|5|2011|2013|Mountain|Fox Hills||800000.00|United Security|3|600.00|80000.00|1992
313|316|AW00000313|140-555-0192|Specialty Bike Shop|Metropolitan Manufacturing|31|A|5|2011|2013|Road|Parkway Plaza||1500000.00|Primary Bank & Reserve|||150000.00|1994
314|490|AW00000314|188-555-0152|Warehouse|One-Piece Handle Bars|97|Q|6|2011|2011|Mountain|4496 Barnes Crossing Rd.||3000000.00|Guardian Bank|1||300000.00|1996
